yorum,urun_adı,puanı
İçeriğinde Süt proteini E Vitamini Avokado yağı bulunan ve düzenli kullanımda kuru kırılmış saçları elektriklenmeyen kabarmayan yumuşak ve ışıltılı saçlara dönüştürmeyi vadeden ürün.İnce telli kıvırcık kabarık saçlardaki etkisini merak etmekteyim. Acaba şekillendirmeyi kolaylaştırıyor mu?,john frieda bukle belirginleştirici bakım maskesi,5
Saçımı yıkarken saç kremi verine maske kullanmayı tercih ediyorum. Kullanmakta olduğum maske bitince ufak bir araştırma sonucu bu maskenin bayağı bir tavsiye edildiğini gördüm indirime denk gelince de aldım. İlk kullanımımda hevesimin de etkisiyle biraz fazla kullanmış olabilirim ama sadece kurutmayla bile saçlarım o kadar akıcı sağlıklı parlak düz ve bakımlı duruyordu ki odaya girer girmez eşim bile farketti. Zaten beklentiyle aldığım için güzel geldiğini düşünmeyin lütfen çünkü bu kadar iyi olabileceğini hiç tahmin etmiyordum. Saçımı tekrar yıkayana kadar sürekli ayna karşısında saçlarıma baktım durdum. Yalnız maalesef ki sonraki kullanımlarımda bu "mucizevi" etkiyi tekrar yakalayamadım. Acaba az mı kullanıyorum diye kutunun çeyreğini de kullandığım oldu ama ilk kullandığımdaki gibi olmadı asla. Buna rağmen çoğu saç maskesine göre çok başarılı fiyat performans açısından da çok mantıklı bir ürün. İlk kullandığımda şu anki kullanım gibi bir etki görsem yine memnun kalırdım sadece ilk kullanımdaki o etki çıtayı çok yukarı çekmiş oldu. Tek kötü yanı çabuk bitmesi... Tony&guy'ın reconstruction maskesinden daha iyi olduğunu gönül rahatlığıyla söyleyebilirim.,john frieda bukle belirginleştirici bakım maskesi,3
Saçım kuru kabarık yıpranmış ince telli ve oldukça sert.herhangi düzleştirici maşa vb ısı işlemi uygulamıyorum.taramak dışında kopmasını sağlayacak bir şey yapmıyorum.ama son zamanlarda köpük sprey ve boyayla mahvettim.üstüne bir de gidip kestirdim salak gibi şimdi iyice kabarıyor delicesine kurudu ve tabiri caizse dolum dolum dolaşıyor kısalttığımdan ötürü.Ben daha önce bu maskeyi 3-4 kutu bitirdim ve hayatımda böylesine memnun kaldığım bir maske olmamıştı.kullandığım dönemde herkes saçıma ne yaptığımı soruyordu.tavsiyemle gidip alan kişilerden de hep olumlu yanıtlar aldım.şimdi tekrar alacağım hatta elime bir para geçsin de stoklayayım.öyle seviyorum yani.-bir kere bunu kullandığınızda kabarma en minimuma iniyor bu kimine göre çok iyi bir şey ama saçınız kafanıza yapışacak kadar sönükse ben almayın derim.-saçları çok sağlıklı ve parlak gösteriyor yumoş yumoş yumuşatıyor.kırıkları tabiki onarmıyor ama yeni oluşumlarını alabildiğine engelliyor.zaten düzenli kestiriyorsanız kırıklarınızı hemen farkedeceksiniz.o çatal çatal görünümü alacak-neredeyse her saç ürünü gibi bunun da devamlı kullanımı saçın alışmasına yol açıyor.ihtiyacınıza göre haftada bir iki haftada bir yada ayda bir şekilde kullanın ve kullandıkça sıklığını azaltarak gidin derim ben.yahut da ara vererek kullanın mesela bir ay kullanın bir ay kullanmayın.-harika bir kokusu var saçınızda da kalıyor zaten o koku.ama diplere sürmeyin hatta diplerden olabildiğince uzaklaştırın.saç dökülmeniz varsa kullanmayın.ne yazık ki dökme yapıyor.-bol kepçeden kullanıyorsanız yetmeyecektir ama benim bir avuç kullanımım eski rapunzel saçlarıma yetiyordu.bana göre bereketli bir ürün yani-he bir de duygu özaslan gibi krem niyetine sürmeyin gidip saç kremi alın.bunun işe yaramayacağından değil ama 30 tlyi bir kavanoz maskeye vereceğinize tüpte kocaman saç kremi alırsınız.zaten adı üstünde "maske" bu.Reklam gibi bir entry oldu biraz ama asdasfg neyse gidip biraz daha kavanozunu açıp koklayayım miss miisss,john frieda bukle belirginleştirici bakım maskesi,3
Ben bir kaç defa kullandım ve aşırı memnunum tekrar alırım.Kıvırcık kuru kabarık saçlarım var. Nemi bildiginiz hapsediyor saça. Saç rengim koyu ve parlak duruyor. Kokusu çok yoğun değil. Yumuşak kolay şekle giren saçlar istiyorsanız buyrun ama saçlarınız hacimli değilse söndürme ihtimali yüksek.Avakodo özlü yanlış hatırlamıyorsam. Şu zamana kadar memnun kaldığım tek maske,john frieda bukle belirginleştirici bakım maskesi,5
insanların nasıl bu kadar beğendiğini anlayamadığım maske. benim kullandığım(no:239106) da bahsettiğim testerdı. saçım omzumun biraz üstünde dört kere kullanabildim o yüzden. yaklaşık iki yıldır saç kremi ya da saç maskesi kullamadığımı da söyleyeyim. sadece şampuan ve bakım yağı kullanıyorum.ilk kullandığımda saçımdan bir türlü arındıramadım. ben arındırdım zannederken saçlarım kuruduğunda yapış yapış olmuş tutamlar fark ettim. saçlarımda da öyle aman aman bir yumuşama olmadı. diğer saç kremlerinden ne farkı var anlamadım. neyse bari paketi bitireyim hem yazık olmasın hem de belki bir sonrakinde daha iyi olur dedim. olmadı. sonuç olarak temizlenmiyor ve yumuşatmıyor. tam boyu belki uzun süreli kullanımda etki ediyordur ama ben pek hoşlanmadım.,john frieda bukle belirginleştirici bakım maskesi,2
(link: http://www.suslusozluk.net/n/323582/ venus justbutterfly trap) in dediği gibi oldu bende de. arındırma problemi var ve yapış yapış yapıyor. ki şampuan ve saç kreminden çok memnunum bu serinin. anlamadım sebebini.,john frieda bukle belirginleştirici bakım maskesi,2
mükemmel ötesi bir maske. bence saçı çok kabarık ve taranmayan insanlar memnun kalıyor. saçı daha normal olanlarınkini fazla yapıştırabildiği için herkes aynı derecede memnun kalmıyor. ben çok pahalı olduğu için 2-3 yıl kullanımına ara vermiştim ama sevgililer günü indiriminde resmen saldırdım. uzun süre bu stoklarımı kullanırım:)),john frieda bukle belirginleştirici bakım maskesi,4
Saçı gerçekten iyi nemlendiren bir maske. Kuru ve kıvırcık saçlarımda saç kremi olarak kullanıyorum gerçekten çok başarılı indirim dönemlerinde 16-17 tl gibi çok uygun bir fiyata alinabilir. Ama bu ürünü saç diplerinize uygulamanızı tavsiye etmem saçı biraz döküyor gibi geldi bana.,john frieda bukle belirginleştirici bakım maskesi,4
Mükemmel ötesi ♥️♥️♥️,5
Bayağdır kullanıyorum. Hiç bir yan etkisini görmedim. Ki hassas cilde sahibim. Herkese tavsiye edebileceğim bir ürün. Yumuşacık yapıyor. Cildiniz parlak oluyor. Gözle görülebilir derecede. Haftada 1 uygulamayı bırakmadığınız surece farkı sizde göreceksiniz.,loreal paris saf kil peeling,5
Düzenli kullanımda etkisini gösteriyor. Cildi temizliyor ve alındığını hissediyorsun. Ben sevdim tavsiye ederim.,loreal paris saf kil peeling,4
Zaten lorealin cilt ürünlerini severek kullanıyorum ama bu özellikle favorim. Sabah akşam düzenle kullanıldığında cildin yağ dengesini ayarlıyor ve gözle görülür bir parlaklık katıyor. Tabi kışın güzelce nemlendirmek gerekiyor.,loreal paris saf kil peeling,5
Arkadaşım vasıtasıyla deneme şansım oldu yuzunuzu yikadiginiz anda cildiniz gıcır gıcır temizlenmis ve puturlukler gitmiş oluyor aynı yeni yikanmis bulasik gibi tavsiye ederim,loreal paris saf kil peeling,5
Çok ferahlık temizlik hissi veren bir ürün cildim hassas genelde kızarır bir çok üründe hiç kızartmıyor seviyorum ikinci defa aldım,loreal paris saf kil peeling jeli,5
Benim cildim çok hassas öncelikle ve yağlı yüz temizleme jelleri bile sivilce yapıyordu cildinize affedersiniz böyle hayvan gibi bastırırsanız tahriş olur fakat bunda hiç böyle bir şey yok fakat cildiniz kuru ise tavsiye etmem ürünü burdan almadım fakat almak isteyenlere faydam dokunsun,loreal paris saf kil peeling jeli,4
Güzel ürün,loreal paris saf kil peeling jeli,4
Salı gecesi ısmarladım perşembe sabah elime ulaştı bravo ✌,loreal paris saf kil peeling jeli,4
Tesekkur ederim Erpa Kozmatik. Hızınıza ve paketleme özeninize hayran kaldım. Ürün gerçekten güzel.,loreal paris saf kil peeling jeli,4
Hızlı gönderi için teşekkür ederiz..,loreal paris saf kil peeling jeli,4
Açıkcası alırken yorumlara baktığımda sivilceye neden olduğunu söyleyen bir kesim vardı ve haklı çıktılar. Kullandığım iki hafta boyunca sürekli sivilce çıkmasına neden oldu. Bıraktığımda sivilceler de kesildi kullanmayı bıraktım ne yazık ki para boşa gitti,loreal paris saf kil peeling jeli,1
pazartesi akşamı sipariş ettim ve ertesi gün elime ulaştı kargo teslimatında ufak bir hata olmasına rağmen arayıp adresi tekrar aldılar çok ilgiler ve giderken de adresinizi güncellemeyi unutmayın diye tekrar uyandıkları için teşekkür ederimbundan sobra aradığım ürünü ilk olarak hızlıexpresten bakacağım,loreal paris saf kil peeling jeli,4
daha önce kullandığım bi temizleyiciydi ve çok memnunum. Fiyatı da uygun olunca 2 tane aldım. satıcı çok hızlı bir şekilde kargoladı ve hepsib. kargo müthiş hızda teslim etti. teşekkürler,loreal paris saf kil peeling jeli,5
ürün gayet hızlı geldi 1 hafta kullandım
gözlemlediklerim: 
- Direk sivilce çıkartmaya başlıyor bıraktıktan sonra sivilceler kayboldu
- Vaat ettiklerini gerçekleştirdiğini göremedim (belkide daha fazla kullanılması lazım)
- Kokusu aynı yosun ve nemli toprak gibi
sonuç: çokta işe yarar değil,loreal paris saf kil peeling jeli,1
Ürün 2 gün içerisinde elime ulaştı. Kullandım memnun kaldım teşekkür ederim.,loreal paris saf kil peeling jeli,4
ortalama bir peeling ekstra bi özelliği yok. gözenek sıkılaştırma bu tarz ürünlerde gerçekçi bir beklenti değil maalesef. sırf onun için almayın.,loreal paris saf kil peeling jeli,3
Eşim beğendi..Fiyatı da uygun HB ye teşekkürler..,loreal paris saf kil peeling jeli,4
Tavsiye ederim ??,loreal paris saf kil peeling jeli,4
güzel.,loreal paris saf kil peeling jeli,4
Ürünü beğendim. Daha önce de kullanmıştım. Evime kadar geldi ve üründe patlama vs bi sorunla karşılaşmadım. Teşekkürler hb :),loreal paris saf kil peeling jeli,4
Süper hızlı ve aynı gün teslimat seçeneği var ama niyeyse siparişin üzerinden 2 gün geçmesine rağmen hala "ürün hazırlanıyor".,loreal paris saf kil peeling jeli,4
Daha yeni kullanmaya başladım şu an çok mennunum,loreal paris saf kil peeling jeli,5
Beğendim çok güzel bi ürün,loreal paris saf kil peeling jeli,5
ürünü kullandım ama çok memnun kalmadım,loreal paris saf kil peeling jeli,2
Nemlendirme oranı orta seviyede ancak içindeki aloevera nedeniyle jel yapıya sahip ve cilt tarafından tamamen emilmiyor ciltte kuruyor. Kullanım sırasında temiz cilde uyguladığınız sürece sivilceye neden olmuyor.,loreal paris nem terapisi aloevera suyu,3
Bana soracak olursanız ürünün muhteşem hafif bir kokusu ve harika nemlendirme özelliği var.Yaklaşık 3 haftadır bu ürünü kullanıyorum ve bu ürünü kullandığım her gün yüzümün parlaklığı olsun nemlenmesi sivilcelerime iyi gelmesi sorun çıkarmaması olsun birçok yönden beni memnun etti 💙 Herkese öneriyorum,loreal paris nem terapisi aloevera suyu,5
Gayet güzel yapış yapış his bırakmıyor. Emiliyor ama kokusu biraz fazla.,loreal paris nem terapisi aloevera suyu,3
Yüzüme uyguladıktan sonra sivilce yaptı beklediğim etkiyi göremedim çok üzgünüm.,loreal paris nem terapisi aloevera suyu,1
ne zaman kullansam sivilce yaptı. nem etkisinide beğenmedim,loreal paris nem terapisi aloevera suyu,1
L’oreal markasının aloe vera ve hyaluronik asit içeren su bazlı nemlendiricisi.Öncelikle 3 tipi var; kuru-hassas ciltliler için kurudan normale dönük ciltler için ve normalden karmaya dönük ciltler için. Benim cildim karma hatta yağlı ancak gittiğim gratiste kendime uygun olanı bulamadım ama hazır indirimdeyken almak istiyordum ve kurudan normale dönük ciltliler için olanı aldım nasılsa su bazlı diye. 2 gündür kullanıyorum uzun vadedeki etkileriyle ilgili yorum yapamayacağım ancak sürdüğümde gerçekten çok güzel nem verdiğini hissedebiliyorum. Çok akışkan bir yapısı var cilde masaj yaparak yedirmeniz gerekiyor 2-3 dk sonra cilt baya ışıldıyor. Ben yağlı ciltliyim dediğim gibi o yüzden geceleri uyguladım gündüz nasıl olur bilemediğim için. Ertesi gün makyaj yaptığımda kesinlikle cildim hala ışıldıyordu sivilce de yapmazsa nemlendirici serum niyetine her gece kullanmaya devam edeceğim. Hazır indirim dönemindeyken şans verilebilir ben 22 tl’ye aldım diye hatırlıyorum.edit: sivilce yapıyor arkadaşlar :(,loreal paris nem terapisi aloevera suyu,3
Ilk çıktığında bu kadar reklamı yapılmadan önce cosmeticada görüp aa böyle bir ürün mü varmış diyerek almıştım. Öncelikle cildim karmadan kuruya. Normalden karmaya olan çeşidini almıştım. Yapısı incecik hızlıca emiliyor. Nemlendirmesi bana tek başına yeterli gelmedi. Çünkü Ben çok fazla nemlendirilmiş ciltten hoşlanıyorum. Bu yüzden bir daha alırsam kuru ciltler için olanını alırım sanırım.  Kullanmaya başladığımdan beri yüzümün parladığını hissediyorum. Yüzüme tonikten sonra nemlendiriciden önce kullanıyorum. Makyajın altına tek başına da çok güzel oturuyor.  Loreal'in her ürünü gibi bu da parfümlü. Ancak beni rahatsız etmedi. Bir pompa tüm yüze yeterli olduğu için hızlı bitmiyor. Biterse tekrar alırım büyük ihtimalle. Ama indirimsiz fiyatını hak etmiyor. Denemek isteyenlere indirimli almalarını öneririm,loreal paris nem terapisi aloevera suyu,3
İndirimde kuru ve hassas ciltler için olandan edinmiştim. Cildim normal ve hassas ürünü de 2 haftadır sabah akşam düzenli kullanıyorum. Cildimi neme doyuruyormuş hissi veriyor ve ferahlatıyor. Oldukça parfümlü bir ürün eğer koku hassasiyeti olan biriyseniz hoşlanmayabilirsiniz ama kokusu beni rahatsız etmiyor. Hem fazlasıyla nemlendirip cildimi ışıl ışıl parlattığı ve yumuşacık yaptığı için hem makyajın altında iyi bir baz olduğu için hem de sivilce ya da herhangi bir probleme neden olmadığı için fazlasıyla memnun kaldım. Bitecek gibi değil ama biterse indirimlerde tekrar tekrar alırım. Bu arada indirimden 22.5 tl gibi bir fiyata almıştım.,loreal paris nem terapisi aloevera suyu,5
Tüm vlogger tayfada gördüğüm için uzak durduğum ürün. Samimi gelmiyor bana bu tarz pr çalışmaları.,loreal paris nem terapisi aloevera suyu,2
Bendeki karma ciltler için olanı indirimde 22.5 tl gibi bir fiyata almıştım. Kesinlikle 72 saat nemlendirme gibi birşey yok ama ürün çok ferah ve güzel nemlendiriyor ayrıca bir pompa tüm yüze yetiyor baya uzun süre gidebilecek  bir ürün Note fondötenle karıştırıp da kullandım gayet güzel oturdu. Yaz için de ideal  fiyat/performans açısından da baya iyi bir ürün tavsiye ederim.,loreal paris nem terapisi aloevera suyu,3
ben de bloggerlar vlogger eline alınca biraz ön yargılıydım ama geçen gün aldım gratisten. vallahi yüzüm tarkanın sinemis candemiri hüp diye çektiği gibi çekti ürünü. hemen emildi kuru yerleri yatıştırdı falan. güzel bir ürün bence.,loreal paris nem terapisi aloevera suyu,4
her ne kadar isim ve ambalaj itibariyle doğal bir içeriği olduğu çağrışımını yapsa dayüksek miktardaki parfüm hele de silikon içeriğiyle beni dehşete düşüren üründür. ama itiraf edeyim ki hala elim gitmekte bu da pazarlama taktiğinin ne kadar başarılı olduğunun göstergesi tebrik ederim loreal su ve sıvı silikonu ambalajlayıp çerez gibi sattığın için (ayrıca hayvanlar üzerinde yaptığı deneylerde nasıl testlerden geçti o da ayrı bir soru işareti),loreal paris nem terapisi aloevera suyu,2
kuru karma cilde sahip olanlar için ideal bir serum. Jelimsi yapısı hızlı emilmesi yağlı bir his bırakmaması ile sanki yüzünüzü yıkamış gibi temizlik ve ferahlık veriyor. Cildi nemlendirirken renk eşitsizliklerini de ortadan kaldırıyor. Fiyat performans olarak fazlasıyla karşılıyor.,loreal paris nem terapisi aloevera suyu,4
Bendeki kuru ciltler için olanı makyaj altına iyi baz olabilir diye aldım sürdüğünüz an hemen emiliyor sanki yok gibi oluyor çok nem vermiyor yani ama kokusu felaket ya bildiğin buram buram kimyasal kokuyor yüzüme sürmek istemiyorum aşırı parfümlü kendimi kokudan rahatsız olmaz sanırdım lorealin bu son çıkardığı ürünleri görene kadar gerçi şu ara hiçbi kokuya tahammülüm yok ama bence siz bir koklayın,loreal paris nem terapisi aloevera suyu,2
geçen yıl almanya dönüşü hydra genius adı altında satın almıştım. yazın karma cildimin nem ihtiyacını karşılamıştı. kuru bölgelere pek faydası olmadı yağlı bölgelerin de yağlandırmasını geciktirmedi ama renk eşitsizliklerini nötrledi. biraz yapış yapış bir his bırakıyor uygulama sonrası. ben aldığımda 10 euro civarıydı türkiye fiyatını görünce tekrar almayı düşünmeye başladım.,loreal paris nem terapisi aloevera suyu,3
Asiri hizli teslimat ve o kadar özenli paketlenmiş ki çok tesekkur ederimmm . Urun zaten harika lorealin bir cok urunu cok kaliteli .,loreal paris nem terapisi aloevera suyu,4
Mükemmel bir şekilde elime ulaştı,loreal paris nem terapisi aloevera suyu,5
Cildim çok hassas ve kışın o kadar çok iyi nemli hissettiriyor ki bitmeye yakın yedeklediğim bir ürün aşırı güzel aşırııı ❤️,loreal paris nem terapisi aloevera suyu,5
devamlı kullanım başarılı ve güzel bir ürün tavsiye ederim,loreal paris nem terapisi aloevera suyu,5
urun kendini belli ediyor. sikinti yasamadik.,loreal paris nem terapisi aloevera suyu,4
özenli paketleme ile bugün ürün elime ulaştı memnun kaldım. Güzel bir not ile gönderim geldi. Kadın girişimcilere herzaman destek vermek gerekir 🙏 musteri potensiyeliniz umarım artar.,loreal paris nem terapisi aloevera suyu,4
Ürünü sipariş verdim ertesi sabah elimdeydi. Hem satıcıdan hem üründen çok memnunum yaklaşık 4üncü şişem.,loreal paris nem terapisi aloevera suyu,4
Yüzümü yaktı nedense beğenmedim açıkçası,loreal paris nem terapisi aloevera suyu,1
yüzüm parladı harika süper kesin alın,loreal paris nem terapisi aloevera suyu,5
Devamlı kullanılandığım bir ürün teşekkürler L'oreal.,loreal paris nem terapisi aloevera suyu,4
Ürün çok iyi paketlenmiş ve orijinal. Teşekkürler,loreal paris nem terapisi aloevera suyu,4
Harıka paketleme. Loreal kutusunda tertemiz paketlenmıs ve gönderlmiş.,loreal paris nem terapisi aloevera suyu,5
Ürünü deneyimim iyi sonuç kargo paketleme kötü sonuçta cam şişe kırılabilirdi,loreal paris nem terapisi aloevera suyu,2
güzel ve rahatlatıcı bir urun özellikle yaz aylarında yüz için harika bir nemlendirici,loreal paris nem terapisi aloevera suyu,5
1 gün gibi kısa bir süre de elime ulaştı satıcıya ve hepsiburada ya teşekkürler,loreal paris nem terapisi aloevera suyu,5
İyi paketlenmiş zamanında geldi,loreal paris nem terapisi aloevera suyu,5
kokusu ve yapısı çok güzel memnun kaldım.,loreal paris nem terapisi aloevera suyu,4
Harika,loreal paris nem terapisi aloevera suyu,5
HIZLI VE GÜVENLİ PAKETLEME. TEŞEKKÜR EDERİZ,loreal paris nem terapisi aloevera suyu,5
ürün içeriğinde alkol var bu yuzden hassas ciltlerde yanma yapar. alkol ve parfüm içeren ürünlerin hepsi alerji k reaksion verir,loreal paris nem terapisi aloevera suyu,1
Bazen yanmaya başlıyor ve cildim terliyor gibi kusuyor kremi silmek zorunda kalıyorum. Cildim karma ve yapısı yoğurt sürmüş hissiyatı veriyor yoğun.,neutrogena visibly clear yağsız nemlendirici,1
Kuruya dönük karma yapılı bir cilde sahibim.Bu üründen önce kullandığım nemlendiriciler cildime hiç etki etmiyordu belki de su bazlı oldukları içindi.Lakin bu ürün kremsi bir yapıya sahip olduğu için bende daha kalıcı bir nemlendirme sağladı.Sürdükten birkaç saat sonra bile bebeksi yumuşaklığın korunduğunu hissediyorsunuz.Ayrıca pembe beyaz alt tonlu bir cilde sahibim ve önceden kullandığım nemlendiriciler yanaklarımı pembeden çok kırmızı gösteriyordu.Alerjik bir bünyem olmadığı halde... Alın aldırın derim.,neutrogena visibly clear yağsız nemlendirici,5
Cildim hassas olduğu için tereddütüm vardı ama sorun yaşamadım temiz cilde uygulayın farkı görün tavsiye ederim.,neutrogena visibly clear yağsız nemlendirici,4
Bayıldım ilk haftadan etkisini gördüm. Aldığınıza asla pişman olmayacağınız ürünlerden biri. İndirimdeyken stok yapmak lazım. Cildim yağlı ve bana iyi geldi.,neutrogena visibly clear yağsız nemlendirici,5
Kullanmaya başlıyalı 3 gün felan oldu farkı şimdiden hissedebiliyorum cildim yağlı eğer yağlı bir cilde sahipseniz hiç düşünmeden alabilirsiniz,neutrogena visibly clear yağsız nemlendirici,4
Bu başlığın hala açılmamış olduğuna inanamadım bir an için. Henüz 3 4 gün önce keşfetmiş olmama rağmen resmen aşk yaşadığım nemlendirici. Şimdiye kadar ucuzundan pahalısına denemediği neredeyse hiç bir marka kalmayan ve hepsinde illaki bir sıkıntı (sivilcelenme kızarıklık kaşıntı vs..) yaşamış olan bu yağlı ama bir o kadar da hassas ve alerjik cilt nasıl olur da bir nemlendiriciyi bu kadar sevebilir hala şaşkınlıklar içerisindeyim. Deneyiniz denetiniz der başka da bir şey demem.,neutrogena visibly clear nemlendiri,5
Yapısı yoğun fakat yeterince nemlendirmeyen bir nemlendirici. Cildim karma fakat bana yeterli gelmedi. Bu serinin temizleme jelinden ve toniğinden ne kadar memnun kalsam da bu ürünü hiç sevmedim.,neutrogena visibly clear nemlendiri,1
kokusu bu kadar berbat olmasa (gizlinot: turuncu olan ) çok daha sık ve severek kullanacağım kolay emilir bulduğum  güzel nemlendiren  yüzü yumuşatan nemlendirici. bir de ambalajı biraz sevimsiz.,neutrogena visibly clear nemlendiri,3
Kokusunu ve ambalajını çok sevdim. Annemde gördüm bende. Sana zilyon tane dermokozmetik pahalı ürünler alıyorum onların tarihi geçiyor açmıyorsn gidip.......diye daha cümleyi tamamlamadan elime aldığım ürünü kokladım. Bu ne güzel kokuyor ya dedim. Aynı üründen mi bahsediyoruz bilmiyorum. Oil FREE yazıyor onda da ve pembe greyfurt kokuyor. Yapısı ve kuru cildime verdiği nemi ferahlığı sevdim. Yaz için alabilirim.,neutrogena visibly clear nemlendiri,4
geçen gün içeriğine baktım da  yok yok maşallah. o yüzden etkisini sevsem de bir daha alacağımı zannetmiyorum. yüze verdiği kadifemsi ve yumuşak hissi sağlayan şey olan silikonun zararları zaten malum.,neutrogena visibly clear nemlendiri,1
t bölgemdeki parlamamdan şikayetçi olduğum için denemek için aldığım nemlendirici krem. kremi uyguladığımda mentollü gibi yüzde değişik bir his bırakması benim için eksi bir durum. ayrıca yüzümü nemlendirdiği konusunda beni endişeye düşüren bu ürünü bir daha alacağımı sanmıyorum. kremi sürdükten sonra ten makyajı yapamıyorsunuz adeta kir gibi kremle birlikte ne varsa kusuyor. ben tam aksi sürdüğüm anda kaybolan parlama yapmayan yağsız bir nemlendirici beklentisi içindeydim. neyazıkki beklentimi karşılamadı.,neutrogena visibly clear nemlendiri,1
SEVEREK KULLANIYORUM. YAĞLI CİLTLER İÇİN ÇOK İYİ BİR ÜRÜN. BEN DE MAKYAJ ALTINA KULLANDIM AMA BENDE KUSMA SORUNU YAŞANMADI.,neutrogena visibly clear nemlendiri,4
bu kremi içeriğine hiç dikkat etmeden indirimde 7 tlye görüp  kokusunu da beğenip almıştım. bir iki kere deneyip arkasını çevirdim ki böyle bir kremin sabah akşam yüz kremi olarak kullanılabileceğine inanamadım. içerisinde methylparaben ethylparaben probylparaben butylparaben Isobutylparaben olmak üzere beş çeşit paraben var. parfümlü. içerik konusunda çok takıntılı bir insan olmamama rağmen daha temiz alternatifler varken sabah akşam bu kremi kullanmak bana saçma geldi. dolu bir paket olarak çöpe gidecek bir ürün malesef.,neutrogena visibly clear nemlendiri,1
çok ağır bana arko kremleri hatırlattı nedense. resmen cildim emmedi. tabaka halinde kaldı sıcak havada terliyorsun zaten vıcık vıcık bir his bıraktı. içinde bir sürü madde olması da tuzu biberi resmen,neutrogena visibly clear nemlendiri,1
makyaj öncesi sürdüğümde yüzümde oluşan mentol hissinden ben de hoşlanmadım. karma ciltliyim. makyaj sonrası yüzümün terlediğini hissediyorum. gerçi bunu başka bi nemlendirici kullandığımda hiç yaşamıyo değilim. tamamen ankaraya yerleşmekle teselli ediyorum kendimi kuru bozkır havasında daha uygun olabilir bu krem. ayrıca kokusunu da çok sevdim.,neutrogena visibly clear nemlendiri,3
Pek bir parlaklık etkisi görmedim ama verdiği yumuşaklık ve temizlik hissi harika,loreal paris şeker peelingi,4
Ben etkisine bayılıyorum. Başka peeling kullanmıyorum. İndirimdeyken almanızı tavsiye ederim.,loreal paris şeker peelingi
Başka peeling kullanmıyorum gönül rahatlığıyla alabilirsiniz indirimdeyken almanızı tavsiye ederim,loreal paris şeker peelingi,4
Ilk kullanimda muthis sonuc tesekkurler watsons 😊,loreal paris şeker peelingi,5
Yüzümde bulunan pürüzlüklere en iyi gelen peeling. Uygulama sonrası verdiği yumuşaklık ve gösterdiği onarım harika. Teşekkürler L'oreal Paris,loreal paris şeker peelingi,5
Ben bunun kivili olanını2-3haftadır kullanıyorum . Cildimi yumuşatti herhangi bir sivilce hassasiyet yapmadı ve hassas ciltliyim kokusunuda sevdim Ama siyah nokta konusunda bir yararını da görmedim belkide benim siyah noktalarımın derinde olduğundandır . indirimde 20 tl ye aldım indirimsiz fiyatı 40 tl,loreal paris şeker peelingi,3
migros indiriminden almıştım. duş sonrası kuru elle nemli cildime sürdüm. sürdükten sonra cildi ısıtıyor. şekerli kivili güzel bir peeling maske. yumuşatıyor pürüzsüzleştiriyor. sık sık yapmaya pek fırsatım olmadı ama sık ve düzenli kullanımda daha da etkili sonuçlar verebileceğini düşünüyorum. dudaklara da uygulanabiliyor. o da bi ayrı güzelliği.,loreal paris şeker peelingi,4
ben kivili olanını aldım indirimde gayet tatlı ama siyah noktaları çıkardığı bence yalan. yani çokpelte kıvamında doğru dürüst peelling yapmıyor ki ama güzel nemlendiriyor. diğer ikisini denemedim bana daha tırt geldiler bu bitince tekrar almam. diğerleri için de (link: https://goo.gl/4oaS8b yorumlar). pek olmazsa olmaz bir ürün değil açıkçası.,loreal paris şeker peelingi,3
ben siyah nokta karşıtı ve ışıltı vaadi olanları kullandım. cildi gerçekten diğer peelinglere göre daha yumuşak yapıyor ama asla ve asla vaadettiği şeylerigerçekleştirmedi. artı olarak gerçekten nemlendirmesi çok güzel.,loreal paris şeker peelingi,2
Bugün satin alip makyajimi temizledikten sonra nemli yüze masaj yaparak uyguladigim burun ve cene bolgemdeki puruzlu hissi gecirdigi duruladiktan sonra biraktigi yumusakligi sevdigim bir urun oldu. Indirimli fiyati ideal. Kivili yapi olarak sert tanecikli hassas ciltlere gore degil. Kokusu ve dudaklara da uygulanabiliyor olmasi ayrica guzel. Bakalim uzun sureli kullanimda mutlu edecek mi?,loreal paris şeker peelingi,3
Üzüm çekirdeği yağı içereni kullandım ancak iddia ettiği gibi ışıltılı ve pürüzsüz bir cilt sunmuyor. Üstelik hem ya hem şeker içermesi cilt gözenekleri için faydalı değil. Kıl köklerini besliyor ve uzun bir kullanım sonrasında tüylenme sorunu da yaratıyor. Bu nedenle kullanmayı bıraktığım üründür.,loreal paris şeker peelingi,1
kuru ciltli olduğum için besleyici (gizlinot: kakaolu)olanını tercih ettiğim peeling. benim cildimde kuruluğa bağlı yer yer pul pul görüntüler oluşuyor o görüntüyü gidermek için aldım. paketin üzerinde yazan talimatlara göre yaptım. özellikle burnumda çok fazla soyulma vardı ve hepsi gitti diyebilirim. peeling yüzümü tahriş etmedi yumuşacık ve yağlı geldi bana. peelingi uyguladıktan sonra yüzüme yine l'oreal'in mucizevi yağından sürdüm. sabah kalktığımda cildim pürüzsüz ve pamuk gibi olmuştu. bir kere kullandım kullanmaya devam edip etkilerini gözlemleyeceğim.,loreal paris şeker peelingi,5
